#,Token,Symbol,Address,Reputation,Labels,Symbol_lower,Rank,Asset,Symbol_y,Price,Marketcap,Category,Sector,Tags,similarity,type,Category_clean,duplicated
0,Ethereum,ETH,ETH,,,,,,,,,Cryptocurrency,Cryptocurrency,,,ETH,Networks,
1,Tether USD,USDT,0xdac17f958d2ee523a2206206994597c13d831ec7,OK,"['Tether', 'Stablecoin']",usdt,3,Tether,USDT,$1.00,$153B,Cryptocurrency,Stablecoins,"['Centralized Issuer', 'U.S. Dollar Stablecoin']",100,Cryptocurrency,Stablecoins,TRUE
2,BNB,BNB,0xb8c77482e45f1f44de1745f52c74426c631bdd52,OK,"['Binance', 'Mainnet Launched']",bnb,5,BNB,BNB,$659.54,$93.29B,Networks,Smart Contract Platform,"['CeFi', 'Centralized Exchange']",100,Protocol,Networks,
3,USDC,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,OK,"['Circle', 'Stablecoin']",usdc,7,USDC,USDC,$1.00,$61.73B,Cryptocurrency,Stablecoins,"['Centralized Issuer', 'U.S. Dollar Stablecoin']",100,Cryptocurrency,Stablecoins,TRUE
4,stETH,stETH,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,OK,"['Lido', 'Liquid staking', 'Beacon Depositor']",steth,11,Lido Staked Ether,stETH,"$2,487.88",$22.44B,Synthetic Assets,Liquid Staking Tokens,['Ethereum Liquid Staking Asset'],22,Synthetic,Liquid Staking Tokens,TRUE
5,Wrapped BTC,WBTC,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,OK,"['Wrapped Bitcoin', 'Bitcoin Pegged']",wbtc,12,Wrapped Bitcoin,WBTC,"$107,178.87",$13.85B,Synthetic Assets,Wrapped Assets,['Wrapped Bitcoin Asset'],90,Synthetic,Wrapped Assets,
6,Wrapped liquid staked Ether 2.0,wstETH,0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,OK,"['Lido', 'DeFi', 'Liquid staking']",wsteth,15,Wrapped stETH,WSTETH,"$2,991.08",$10.45B,Synthetic Assets,Wrapped Assets,,76,Synthetic,Wrapped Assets,TRUE
7,ChainLink Token,LINK,0x514910771af9ca656af840dff83e8264ecf986ca,NEUTRAL,['Oracle'],link,16,Chainlink,LINK,$15.20,$10.04B,Data,Oracles,['DeFi'],89,Protocol,Others,
8,Wrapped Ether,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,OK,['Wrapped Token'],weth,20,WETH,WETH,"$2,489.18",$8.42B,Synthetic Assets,Wrapped Assets,,40,ETH,Wrapped Assets,
9,Bitfinex LEO Token,LEO,0x2af5d2ad76741191d15dfe7bf6ac92d4bd912ca3,,,leo,22,Unus Sed Leo,LEO,$8.84,$7.98B,Cryptocurrency,Cryptocurrency,"['Centralized Exchange', 'Centralized Issuer']",42,Cryptocurrency,Cryptocurrency,
